"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","中和區","中和國小","廟美里、福善里、
福真里、福和里、
連和里、連城里、
枋寮里、漳和里、
泰安里、景安里、
景文里、正行里、
南山里(1-7、10
-38鄰)、力行里
(1-10、16-18、
32、34-38鄰)、
新南里(1-25、28
-48鄰)、和興里
(4-14、19、21-
24、27、28、30、
42鄰)、瓦磘里
(16、21、22、27
鄰)、佳和里(1-
6、30-40鄰)","一、中原里(1-
6、15-17、
21-24鄰)
【中和、光復
國小自由學
區】
二、景平里(1-
8、28-33鄰)
【中和、復
興、景新國小
自由學區】
三、中原里(9、
11、12、18
-20鄰)【中
和、積穗、光
復國小自由
學區】
四、福祥里、福美
里、佳和里(7
-29鄰)、
瓦磘里(1-
15、17-20、
23-26、28、
29鄰)【中
和、永和區永
平國小自由
學區】
五、碧河里(19、
22鄰)【中
和、錦和國小
自由學區】
六、永和區雙和里
【中和國
小、永和區永
和、永平國小
自由學區】
七、平河里1-3鄰
【積穗、中和
國小自由學
區】","調整備註","23"
"115","國小","中和區","興南國小","華新里、頂南里、
正南里、東南里、
華南里、內南里、
壽南里、福南里、
橫路里、景新里、
忠孝里、景福里
(35-37、43-44
鄰)","","","24"
"115","國小","中和區","積穗國小","嘉慶里、嘉穗里、
嘉新里、民安里、
安穗里、信和里、
文元里、積穗里(1
-9、12-31、34
-45鄰)、平河里
(4-67鄰)、員
山里(1-10、23、
24、36鄰)","一、灰磘里(7鄰)
【積穗、錦和
國小自由學
區】
二、中原里(9、
11、12、18
-20鄰)【積
穗、中和、光
復國小自由
學區】
三、中原里(7、8、
10、13、14
鄰)、員富里
【積穗、光復
國小自由學
區】
四、平河里1-3鄰
【積穗、中和
國小自由學
區】","調整備註","24"
"115","國小","中和區","復興國小","復興里、外南里、
中興里、吉興里、
和興里(1-3、15
-18、20、25、26、
29、31-41鄰)、
南山里(8、9鄰)、
景福里(1-34、
38-42鄰)、新
南里(26、27鄰)、
德行里(1-21、
38-41鄰)","一、德行里(22
-37、42鄰)
【復興、錦和
國小自由學
區】
二、景平里(1-
8、28-33鄰)
【復興、中
和、景新國小
自由學區】","","25"
"115","國小","中和區","秀山國小","秀山里、秀成里、
秀義里、秀福里、
秀景里、秀水里、
秀仁里、秀明里","一、景平里(9、
10、42、43
鄰)【秀山、
景新國小自
由學區】
二、永和區智光
里、民治里、
民權里【秀
山、永和區秀
朗國小自由
學區】","","25"
"115","國小","中和區","自強國小","清穗里、民享里、
民有里、明穗里、
自強里、冠穗里、
國華里、積穗里
(10、11、32、33
鄰)、瑞穗里(7
-18鄰)、德穗
里(8-25、30-
32鄰)","一、壽德里、明德
里【自強、板
橋區重慶國
小自由學區】
二、國光里(13
-22鄰)【自
強、板橋區實
踐國小自由
學區】
三、土城區平和
里、延壽里、
延祿里【自
強、土城區安
和國小自由
學區】","調整備註","25"
"115","國小","中和區","景新國小","景本里、景南里、
秀峰里、秀士里、
崇南里、興南里、
景平里(11-27、
34-41鄰)","一、景平里(9、
10、42、43
鄰)【景新、
秀山國小自
由學區】
二、景平里(1-
8、28-33
鄰)【景新、
中和、復興
國小自由學
區】","","26"
"115","國小","中和區","錦和國小","錦和里、錦中里、
錦昌里、錦盛里、
中正里、中山里、
仁和里、建和里、
力行里(11-15、
19-31、33鄰)、
碧河里(1-18、
20、21、23-27
鄰)、灰磘里(1
-6鄰)","一、灰磘里(7鄰)
【錦和、積穗
國小自由學
區】
二、德行里(22
-37、42鄰)
【錦和、復興
國小自由學
區】
三、碧河里(19、
22鄰)【錦
和、中和國小
自由學區】","","26"
"115","國小","中和區","光復國小","板橋區福壽里、居
仁里、富貴里、長
壽里、光復里、埔
墘里(1-17鄰)","一、中原里(9、
11、12、18
-20鄰)【光
復、中和、
積穗國小自
由學區】
二、中原里(7、
8、10、13、
14鄰)、員
富里【光
復、積穗國
小自由學
區】
三、中原里(1-
6、15-17、
21-24鄰)
【光復、中
和國小自由
學區】","◎106學年度前
(含106學年
度)開放為板
橋區、中和區
全區自由學
區。
◎107學年度
起，板橋區海
山、莒光、埔
調整備註
墘國小及板
橋區宏翠里
之學童仍可
就讀光復國
小，其餘板橋
區及中和區
之學童回歸
原學區就
讀。上述3校
及板橋區宏
翠里外之學
童，倘有兄姐
現就讀光復
國小，得提出
申請隨兄姐
就讀。
◎111學年度
起，取消中和
區積穗國小
學區內學童
至光復國小
就讀，倘有兄
姐現就讀光
復國小，得提
出申請隨兄
姐就讀。","26"
"115","國小","中和區","永和區永平國小","永和區前溪里、保
平里、保安里、協
和里、和平里、保
順里","一、福祥里、福美
里、佳和里(7
-29鄰)、
瓦磘里(1-
15、17-20、
23-26、28
-29鄰)【中
和國小、永和
區永平自由
學區】
二、永和區雙和里
【中和、永和
區永平、永和
國小自由學
區】
三、永和區安和
里、水源里
(1、7-21
鄰)【永和區
永和、永平國
小自由學區】
四、永和區中溪里
(13鄰)【永
和區頂溪、永
平國小自由
學區】
五、新生里(15
-18鄰)、
中溪里(1-
12、14-15、
19-20鄰)、
下溪里(9、
12-15鄰)、
大同里(10
-18鄰)【永
和區永平、頂
溪國小自由
學區】","調整備註","27"
