"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國中","中和區","漳和國中","安樂、宜安、安順、
安和、中安、安平、
泰安、瓦磘、福和、
枋寮、福善、漳和、
南山、景文、佳和、
福美、福祥、廟美、
連城、連和、中原(1-4、
15-17、21-24鄰)、
福真等里","一、新南里(錦和高中國中部、
漳和國中自由學區)
二、景安里(中和國中、漳和國
中自由學區)
三、永和區安和、雙和等里(漳
和國中、永和國中、福和國
中自由學區)
四、永和區保平、水源、協和、
和平、前溪等里(漳和國
中、福和國中、永和國中、
永平高中國中部自由學區)","一、本學年
度入學方案:
在保障永和
區學生入學
權益前提
下，俟永和
區學生皆完
成入學報到
手續後，若
永和國中及
福和國中尚
有缺額，則
同意讓設籍
中安里之學
生可選擇入
學永和國中
及福和國中
二、中和區
各里可就讀
本市光復高
中國中部","10"
"115","國中","中和區","自強國中","明穗、自強、國光、
國華、德穗、民生、
冠穗、瑞穗(18鄰)等里","一、清穗、明德、壽德等里(自
強國中、重慶國中自由學
區)
二、民有、民享、瑞穗(7-17
鄰)、積穗(10-11、32-33
鄰)等里(自強國中、積穗國
中自由學區)
三、平和、延壽、延祿、延吉、
安和等里(清水高中國中
部、自強國中自由學區)
四、瑞穗里(1-6鄰)(自強國中、
積穗、海山高中國中部自由
學區)","中和區各里
可就讀本市
光復高中國
中部","11"
"115","國中","中和區","積穗國中","平河、信和、員富、
民安、安穗、嘉穗、
嘉慶、文元、積穗(除10、
11、32、33鄰)、嘉新、
員山(除11-22鄰、25-35
鄰、37-42鄰)等里","一、民有、民享、瑞穗(7-17
鄰)、積穗(10-11、32-33
鄰)等里(自強國中、積穗國
中自由學區)
二、中正、碧河、仁和等里(積
穗國中、錦和高中國中部自
由學區)
三、中原里(5-14、18-20鄰)(積
穗國中、光復高中國中部自
由學區)
四、瑞穗里(1-6鄰)(自強國中、
積穗、海山高中國中部自由
學區)
五、員山里(11-22鄰、25-35
鄰、37-42鄰)(積穗國中、
海山高中國中部自由學區)","中和區各里
可就讀本市
光復高中國
中部","11"
"115","國中","永和區","錦和高中國中部","力行、德行、錦和、
錦中、錦昌、錦盛、
中山、正行、建和、
灰磘等里","一、中興、和興、復興等里(中和
國中、錦和高中國中部自由
學區)
二、中正、碧河、仁和等里(積穗
國中、錦和高中國中部自由
學區)
三、新南里(錦和高中國中部、漳
和國中自由學區)","中和區各里
可就讀本市
光復高中國
中部","12"
"115","國中","永和區","永和國中福和國中","網溪、光復、復興、
上林、中興、勵行、
桂林、永興、正興、
竹林、福林、豫溪、
大新、店街、光明、
永福、永貞、福和、
河濱、秀和、秀朗、
秀成、秀林、秀得、
民本、民樂、民族、
民權、民生、民治、
智光、潭墘、潭安、
永安、得和、永元、
河堤、頂溪、上溪、
後溪、秀元、永樂、
民富等里","一、安和、雙和等里(永和國中、
福和國中、漳和國中自由學
區)
二、保平、水源、協和、和平、
前溪等里(永平高中國中部、
永和國中、福和國中、漳和
國中自由學區)","一、前揭各
里學區依身
分證尾數劃
分—單號：
永和國中；
雙號：福和
國中
二、本學年
度入學方
案：永和國
中及福和國
中兄弟姊妹
就讀同校，
倘本學年度
國中新生其
目前在學之
兄(姊)有1
位以上者，
應隨年紀最
接近之在學
兄(姊)就讀
同校。","12"
"115","國中","永和區","永平高中國中部","新廍、下溪、仁愛、
文化、信義、永成、
忠義、大同、新生、
保安、中溪、保順等里","保平、水源、協和、和平、前溪
等里(永平高中國中部、永和國
中、福和國中、漳和國中自由學
區)","","12"
"115","國中","汐止區","樟樹實中國中部","北峰、金龍、湖光、
湖興、樟樹、忠孝、
厚德、山光、環河、
北山(除1-13鄰)、
中興、康福、福德、
興福等里","一、忠山、湖蓮、北山(1-13
鄰)等里(樟樹實中國中部、
臺北市東湖國中自由學區)
二、長青里(樟樹實中國中部、
臺北市內湖國中自由學區)","","13"
"115","國中","汐止區","汐止國中","仁德、義民、禮門、
智慧、大同、信望、
江北、八連、拱北、
鄉長、烘內、長安、
保長、保新、保安等里","城中、建成等里(汐止國中、秀
峰高中國中部自由學區)","","13"
"115","國中","汐止區","秀峰高中國中部","秀峰、秀山、新昌、
福安、茄苳、崇德、
東山、橋東等里","城中、建成等里(汐止國中、秀
峰高中國中部自由學區)","","13"
"115","國中","汐止區","青山國中小國中部","復興、自強、文化、
橫科、宜興、東勢、
福山、白雲等里","","","13"
"115","國中","汐止區","萬里國中","萬里、龜吼、野柳、
中幅、北基、崁腳、
溪底、雙興(除9鄰)等里","大鵬、磺潭、雙興(9鄰)等里(金
山高中國中部、萬里國中自由學
區)","","13"
"115","國中","汐止區","金山高中國中部","全區轄區","大鵬、磺潭、雙興(9鄰)等里
(金山高中國中部、萬里國中自
由學區)","","13"
"115","國中","新店區","文山國中","太平、張南、廣明、
新店、文中、國校、
青潭、美城、美潭(除16-
20鄰)、員潭、雙坑、
粗坑、屈尺、龜山、
廣興、塗潭、直潭、
文明、新生(1-8鄰)、
頂城(1-10鄰)、華城等里","一、中華、百福、福民、中央、
美潭(16-20鄰)、福德、中
興、百忍等里(文山國中、五
峰國中自由學區)
二、下城、頂城等里(安康高中國
中部、文山國中自由學區)
三、石碇區永安、格頭等里(石碇
高中國中部、文山國中、坪
林實中自由學區)","","14"
"115","國中","新店區","五峰國中","大豐、大同、大鵬、
忠孝、信義、寶安、
明德、建國、國豐、
新安、百和、仁愛、
中正、復興、新德、
寶興、張北、五峰、
長春、忠誠、寶福、
江陵、中山、和平、
新生(9-26鄰)等里","中華、百福、福民、中央、美潭
(16-20鄰)、福德、中興、百忍等
里(文山國中、五峰國中自由學
區)","","14"
"115","國中","新店區","安康高中國中部","柴埕、公崙、安和、
安昌、德安(1-17鄰，車子
路以南除外)等里","一、新和、永平、永安等里(安康
高中國中部、中和國中自由
學區)
二、下城、頂城等里(安康高中國
中部、文山國中自由學區)","","14"
"115","國中","新店區","達觀國中小國中部","德安(18-28鄰，車子路以
南)、小城、吉祥、玫瑰、
明城、達觀、雙城、
日興、香坡等里","","","14"
"115","國中","新店區","深坑國中","全區轄區","深坑區土庫里(深坑國中、石碇高
中國中部自由學區)","","14"
"115","國中","石碇區","石碇高中國中部","全區轄區","一、石碇區永安、格頭等里(石碇
高中國中部、文山國中、坪林
實中自由學區)
二、深坑區土庫里(深坑國中、石
碇高中國中部自由學區)","全市自由學
區學校","15"
"115","國中","石碇區","烏來國中小國中部","烏來、忠治、孝義、
信賢、福山等里","","","15"
"115","國中","石碇區","瑞芳國中","龍潭、龍興、龍鎮、
龍安、龍川、龍山、
爪峰、新峰、東和、
柑坪、猴硐、光復、
弓橋、碩仁、吉慶、
吉安、上天、傑魚等里","瑞濱、海濱、深澳等里(瑞芳國
中、欽賢國中自由學區)","","15"
"115","國中","石碇區","欽賢國中","福住、崇文、基山、
頌德、永慶、新山、
銅山、石山、瓜山、
鼻頭、濂新、濂洞、
南雅等里","瑞濱、海濱、深澳等里(瑞芳國
中、欽賢國中自由學區)","全市自由學
區學校","15"
"115","國中","雙溪區","雙溪高中國中部","全區轄區","","全市自由學
區學校","16"
"115","國中","雙溪區","平溪國中","全區轄區","","","16"
"115","國中","淡水區","正德國中","崁頂(除5、18-19鄰)、
埤島、忠寮、北投、
水源、水碓、正德、
北新、忠山、中和、
義山、蕃薯、賢孝、
屯山、興仁、新義(9-14
鄰)、新興(1-3鄰、5鄰新
興街84-90號15樓雙號除
外、8鄰)、新春(6-10、
14-15鄰)、學府(16-18
鄰)、中興(6-7鄰)等里","興華、店子等里(三芝國中、正德
國中自由學區)","一、沙崙里
(8鄰)為113
年9月1日
(含)以前出
生者(即125
學年度以前
就讀者)，為
淡水國中、
正德國中自
由學區，自
126學年度起
回復為淡水
國中基本學
區
二、新北市
114年轄里編
組調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.27-28","17"
"115","國中","淡水區","正德國中(賢孝校區)","崁頂(除5、18-19鄰)、
埤島、忠寮、北投、
水源、水碓、正德、
北新、忠山、中和、
義山、蕃薯、賢孝、
屯山、興仁、新義(9-14
鄰)、新興(1-3鄰、5鄰新
興街84-90號15樓雙號除
外、8鄰)、新春(6-10、
14-15鄰)、學府(16-18
鄰)、中興(6-7鄰)等里","興華、店子等里(三芝國中、正德
國中自由學區)","一、賢孝校
區如有額滿
時，仍以設
籍義山、興
仁、賢孝、
屯山、蕃
薯、中和6
里學生優先
入學
二、新北市
114年轄里編
組調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.27-28","17"
"115","國中","淡水區","淡水國中","樹興、油車、沙崙、
大庄、永吉、協元、
新生、民安、文化、","竿蓁、鄧公、幸福、坪頂等里(竹
圍高中國部、淡水國中自由學區)","一、沙崙里
(8鄰)為113
年9月1日","17"
"115","國中","石門區","竹圍高中國中部","竹圍、民權、福德、
民生、八勢等里","竿蓁、鄧公、幸福、坪頂等里(竹
圍高中國中部、淡水國中自由學
區)","","18"
"115","國中","石門區","三芝國中","八賢、埔頭、埔坪、
古庄、新庄、茂長、
橫山、錫板、後厝、
福德、圓山等里","興華、店子等里(三芝國中、正德
國中自由學區)","","18"
"115","國中","三重區","三重高中國中部","福祉、福德、福民、
成功、光正、光明、
同安、同慶、清和、
福星、福利、光榮、
光輝、仁德、忠孝、
仁義、大同、中民、
平和、大安、中正、
吉利、菜寮、永春等里","一、谷王里(三重高中國中部、
明志國中、二重國中自由學
區)
二、永興里(三重高中國中部、
光榮國中自由學區)","中興、五
谷、德厚、
頂崁等里有
兄姊就讀三
重高中國中
部者，弟妹
可選擇三重
高中國中部
就讀","19"
"115","國中","三重區","二重國中","博愛、二重、福田、
大有、永發、培德(12-24
鄰)、永煇、田心、五谷、
谷王、德厚等里","一、谷王里(三重高中國中部、
明志國中、二重國中自由學
區)
二、田中、光田、田安、六福、
立德、重明、光陽等里(二
重國中、明志國中自由學
區)
三、五股區興珍(1-32鄰、38-40
鄰)、更寮等里(二重國中、
蘆洲國中、五股國中自由學
區)
四、頂崁、中興等里(頭前國
中、二重國中自由學區)","","19"
"115","國中","三重區","三和國中","永清、永順、永福、
永盛、永吉、永安、
永德、永豐、維德、
厚德、培德(1-11鄰)、
尚德(6-15、17-29鄰)等里","福隆、福樂、溪美等里(三和國
中、碧華國中自由學區)","培德、慈愛
等里有兄姊
就讀三和國
中者，弟妹
可選擇就讀
三和國中","19"
"115","國中","三重區","光榮國中","長安、長泰、長江、
萬壽、三安、開元、
長元、秀江、奕壽、
長福、介壽、錦江、
崇德、龍濱、龍門、
順德、承德、瑞德、
中央、光華、大德、
長生、錦通、雙園、
錦安、尚德(1-5、16鄰)等
里","永興里(三重高中國中部、光榮國
中自由學區)","","19"
"115","國中","三重區","明志國中","信安、六合、幸福、
重陽、過田、錦田、
中山、民生、大園、
重新、正德、正義、
正安、自強、安慶、
福安、國隆、三民、
文化、六福(19鄰)、
光田、田中等里","一、谷王里(三重高中國中部、
明志國中、二重國中自由學
區)
二、田中、光田、田安、六福、
立德、重明、光陽等里(二
重國中、明志國中自由學
區)","","19"
"115","國中","三重區","碧華國中","碧華、富華、富福、
富貴、五福、仁忠、
五常、慈化、慈祐、
五華、慈惠、慈愛、
慈生、慈福、五順、
仁華等里","福隆、福樂、溪美等里(三和國
中、碧華國中自由學區)","","20"
"115","國中","蘆洲區","蘆洲國中","忠義、長安、永安、
延平、九芎、正義(8-9、
18-25鄰)、永德、中原、
光明、得勝、光華、
中華、中路、得仁、
樹德、民和、保佑、
溪墘、保新(除9-12鄰)
等里","一、保和(除第8鄰三民路96-
106號)、仁復等里(三民高
中國中部、蘆洲國中自由學
區)
二、正義(2-3、7、15-17鄰)、
永康里等里(蘆洲國中、鷺
江國中自由學區)
三、五股區觀音、集賢、集福、
成德、成州等里(五股國
中、蘆洲國中、鷺江國中自
由學區)
四、五股區興珍(1-32、38-40
鄰)、更寮等里(二重國中、
蘆洲國中、五股國中自由學
區)","","21"
"115","國中","蘆洲區","三民高中國中部","樓厝、玉清、信義、
福安、仁義、鷺江、
仁愛、復興、仁德、
恆德、保和(第8鄰三民路
96-106號)、水河、
水湳、忠孝等里","保和(除第8鄰三民路96-106
號)、仁復等里(三民高中國中
部、蘆洲國中自由學區)","","21"
"115","國中","蘆洲區","鷺江國中","成功、南港、永樂、保新
(9-12鄰)、正義(1、4-6、
10-14鄰)等里","一、正義里(2-3、7、15-17
鄰)、永康里(蘆洲、鷺江國
中自由學區)
二、五股區觀音、集賢、集福、
成德、成州等里(五股、蘆
洲、鷺江國中自由學區)","","21"
"115","國中","新莊區","新莊國中","文明、恆安、立人、
榮和、文德、興漢、
全安、海山、豐年、
泰豐、文衡、文聖、
國泰、中美、立德(1-8鄰)
等里","一、思源里(1-4、19、20鄰)(新
莊國中、頭前國中自由學區)
二、全泰里、思賢里2鄰(新莊國
中、新泰國中自由學區)
三、瓊林里(1-12鄰)(新莊國中、
福營與新泰國中自由學區)
四、瓊林里(13鄰)(新莊國中、福
營國中自由學區)","","22"
"115","國中","新莊區","新泰國中","中華、中和、中誠、
中宏、中全、中泰、
立志、立基、立言、
立泰、立廷(幸福路單號單
巷)、思賢(除2鄰)、
忠孝、立功、立德(除1-8
鄰)、自立、自強、營盤
(三泰路以東北為界)等里","一、全泰里、思賢里2鄰(新莊國
中、新泰國中自由學區)
二、瓊林里(1-12鄰)(新莊國中、
福營國中、新泰國中自由學
區)
三、泰山區義仁(30-39鄰)、貴賢
(9-14鄰及貴子路67巷)等里
(義學國中、新泰國中自由學
區)
四、營盤里(7、8鄰)(新泰國中、
福營國中自由學區)","","22"
"115","國中","新莊區","中平國中","立廷(除幸福路單號、單
巷)、中港、中原、中信、
中平、中隆等里","","","22"
"115","國中","新莊區","頭前國中","思源(5-18、21、22鄰)、
幸福、昌平、昌隆、
仁愛、仁義、信義、
和平、昌明、昌信、
自信、福基、福興、
頭前、化成等里","一、思源里(1-4、19、20鄰)(新
莊、頭前國中自由學區)
二、五股區興珍里(33-37鄰)(五
股、頭前國中自由學區)
三、三重區中興、頂崁等里(頭
前、二重國中自由學區)","","22"
"115","國中","新莊區","福營國中","富民、民全、後港、
富國、西盛(1-5、19、22
鄰)、萬安、民安(除17、
18、23-33鄰)、民本、
四維、後德、建安、
建福、福營、南港、
成德、營盤(三泰路以西南
為界)、瓊林(14-20鄰)、","一、瓊林里(1-12鄰)(新莊國中、
福營國中、新泰國中自由學
區)
二、裕民、合鳳、祥鳳、民安(28-
29鄰)等里(福營國中、丹鳳高
中國中部自由學區)
一、瓊林里(13鄰)(新莊國中、福
營國中自由學區)","","22"
"115","國中","泰山區","丹鳳高中國中部","西盛(6-9、11、13、20-
21、23鄰)、丹鳳、龍鳳、
龍福、雙鳳、光華、
光明、光榮、光正、
龍安(15鄰)、民安(17、
18、23-27、30-33鄰)、
光和等里","一、裕民、合鳳、祥鳳、民安(28-
29鄰)等里(福營國中、丹鳳高
中國中部自由學區)
二、泰山區貴和里(33-38鄰)(義學
國中、丹鳳高中國中部自由學
區)
三、西盛里(10、24鄰)(丹鳳高中
國中部、溪崑國中自由學區)","","23"
"115","國中","泰山區","泰山國中","大科(1-6、9-12鄰)、
黎明、山腳、福泰、
楓樹、福興(1-18鄰)等里","一、同榮(1-16、30鄰)、同興
(1-12鄰)、全興(1-7鄰)、
福興(19-25鄰)等里(泰山國
中、義學國中自由學區)
一、大科里(7、8鄰)(泰山國
中、崇林國中自由學區)","","23"
"115","國中","泰山區","義學國中","義學、義仁(1-29鄰)、
明志、新明、貴子、
貴賢(1-8、15-27鄰)、
貴和(1-32、39-42鄰)、
泰友、全興(8-25鄰)、
大科(13-16鄰)、
同榮(17-29鄰)、
同興(13-24鄰)等里","一、同榮(1-16、30鄰)、同興
(1-12鄰)、全興(1-7
鄰)、福興(19-25鄰)等里
(泰山國中、義學國中自由
學區)
二、義仁(30-39鄰)、貴賢(9-14
鄰)等里(義學國中、新泰國
中自由學區)
三、貴和里(33-38鄰)(義學國
中、丹鳳高中國中部自由學
區)","","23"
"115","國中","五股區","五股國中","全區轄區","一、觀音、集賢、集福、成德、
成州等里(五股國中、蘆洲
國中、鷺江國中自由學區)
二、興珍(1-32鄰、38-40鄰)、
更寮等里(二重國中、蘆洲
國中、五股國中自由學區)
三、興珍里(33-37鄰)(五股國
中、頭前國中自由學區)","","24"
"115","國中","五股區","八里國中","全區轄區","一、林口區太平里(6-15鄰)(佳
林國中、八里國中、林口國
中自由學區)
二、林口區瑞平里(5-10鄰)(佳
林國中、八里國中自由學
區)","","24"
